timestamp,accel_x,accel_y,accel_z,gyro_alpha,gyro_beta,gyro_gamma
1778763935425,0.6000000000000001,-0.1,9.9,0.1,0.1,0
1778763935442,0.6000000000000001,-0.1,9.9,0,0,0
1778763935459,0.5,-0.1,9.9,0,0,0
1778763935476,0.6000000000000001,-0.1,9.9,-0.1,0.1,0
1778763935493,0.6000000000000001,-0.1,9.9,0,0,0.1
1778763935513,0.6000000000000001,-0.1,9.9,0.1,0,0
1778763935526,0.6000000000000001,-0.1,9.9,-0.1,0,0
1778763935542,0.5,-0.1,9.9,-0.1,0,0
1778763935559,0.6000000000000001,-0.1,9.9,0,0,0
1778763935576,0.6000000000000001,-0.1,9.9,-0.1,0,0
1778763935593,0.5,-0.1,9.9,-0.1,0,0.1
1778763935609,0.6000000000000001,-0.1,9.9,-0.1,0,0
1778763935626,0.5,-0.1,9.9,0.1,0,0
1778763935643,0.6000000000000001,-0.1,9.9,-0.1,0,-0.1
1778763935658,0.6000000000000001,-0.1,9.9,-0.1,0,-0.1
1778763935676,0.6000000000000001,-0.1,9.9,0.1,0.1,0
1778763935693,0.5,-0.1,9.9,0,-0.1,0
1778763935709,0.6000000000000001,-0.1,9.9,0,0.1,0
1778763935725,0.6000000000000001,-0.1,9.9,0,0.1,0.1
1778763935743,0.6000000000000001,-0.1,9.9,0,0,0
1778763935760,0.6000000000000001,-0.1,9.9,-0.1,0,0
1778763935775,0.6000000000000001,-0.1,9.9,0,0.1,0
1778763935793,0.6000000000000001,-0.1,9.9,0,0,0
1778763935809,0.6000000000000001,-0.1,9.9,0,-0.1,0
1778763935826,0.6000000000000001,-0.1,9.9,0,0,0
1778763935842,0.6000000000000001,-0.1,9.9,0,0,0
1778763935859,0.6000000000000001,-0.1,9.9,0,0,0
1778763935875,0.6000000000000001,-0.1,9.9,0,0,0.1
1778763935894,0.6000000000000001,-0.1,9.9,0,-0.1,0
1778763935909,0.6000000000000001,-0.1,9.9,0.1,0,0
1778763935930,0.6000000000000001,-0.1,9.9,0,0,0
1778763935943,0.6000000000000001,-0.1,9.9,0,0,0
1778763935959,0.6000000000000001,-0.2,9.9,0,0,0
1778763935975,0.6000000000000001,-0.1,9.9,0,0,0
1778763935993,0.6000000000000001,-0.1,9.9,-0.1,0,0
1778763936010,0.6000000000000001,-0.1,9.9,-0.1,0.1,0
1778763936026,0.6000000000000001,-0.2,9.9,-0.1,0.1,0
1778763936042,0.5,-0.1,9.9,0.1,-0.1,0
1778763936059,0.6000000000000001,-0.1,9.9,0,0,0
